"","ym","Market_RET"
"1","1980.12",-2.22628083521521
"2","1981.01",-1.13192026579582
"3","1981.02",-1.16910115111056
"4","1981.03",4.76199858105146
"5","1981.04",3.21440173276031
"6","1981.05",-7.02192998231934
"7","1981.06",-4.2302769366125
"8","1981.07",-3.86162022901468
"9","1981.08",5.58881667942735
"10","1981.09",-16.7407228898085
"11","1981.10",7.39753742724836
"12","1981.11",16.0471437798474
"13","1981.12",-2.30699188570041
"14","1982.01",4.8859500412896
"15","1982.02",-6.44852249299176
"16","1982.03",2.34045903833256
"17","1982.04",2.40368544166916
"18","1982.05",3.10625812629146
"19","1982.06",-5.86949440188951
"20","1982.07",3.39878021603227
"21","1982.08",2.6700758376123
"22","1982.09",4.54423023018189
"23","1982.10",2.4504875200339
"24","1982.11",0.166033858744323
"25","1982.12",2.44918523277777
"26","1983.01",-1.43738280584824
"27","1983.02",1.65960526609349
"28","1983.03",2.23360861736808
"29","1983.04",13.2242537142842
"30","1983.05",3.09556886372249
"31","1983.06",1.04591354565414
"32","1983.07",-1.84586172597539
"33","1983.08",2.6342577986906
"34","1983.09",-0.34874651459256
"35","1983.10",-1.43368002820591
"36","1983.11",3.76550240418791
"37","1983.12",2.05234530226258
"38","1984.01",3.66302560963278
"39","1984.02",5.71578247500816
"40","1984.03",3.23967670719278
"41","1984.04",0.277650207447064
"42","1984.05",-9.80995026529494
"43","1984.06",-0.210724004988787
"44","1984.07",-5.65627627747469
"45","1984.08",9.30479022036789
"46","1984.09",-2.69325451468899
"47","1984.10",0.967063010439137
"48","1984.11",1.87437364196698
"49","1984.12",3.34862730374267
"50","1985.01",1.92939842439607
"51","1985.02",-4.93690571381011
"52","1985.03",17.9521318834309
"53","1985.04",1.88760696134405
"54","1985.05",6.41315767849088
"55","1985.06",-3.72392444403873
"56","1985.07",10.3174319681158
"57","1985.08",6.19558578821993
"58","1985.09",-1.15198812712113
"59","1985.10",11.4108013159019
"60","1985.11",7.76802599857666
"61","1985.12",-3.63378728825252
"62","1986.01",0.593991438538069
"63","1986.02",11.8876253805579
"64","1986.03",11.3084383075813
"65","1986.04",5.91594006507552
"66","1986.05",-7.39198405046002
"67","1986.06",8.58168387914441
"68","1986.07",-7.03525442705017
"69","1986.08",6.35968340590871
"70","1986.09",-7.52216041075615
"71","1986.10",2.67154312193133
"72","1986.11",3.44190692339165
"73","1986.12",6.48644237775895
"74","1987.01",11.4594248737529
"75","1987.02",13.070461791917
"76","1987.03",6.95265819490573
"77","1987.04",6.79505111824029
"78","1987.05",5.405241307316
"79","1987.06",4.95197397457324
"80","1987.07",4.42918523439392
"81","1987.08",-1.06570510243365
"82","1987.09",5.3778466302176
"83","1987.10",-19.9060608867945
"84","1987.11",-4.52512415651046
"85","1987.12",14.6942202364997
"86","1988.01",-0.612885967216668
"87","1988.02",-0.324458937609665
"88","1988.03",5.84914876258284
"89","1988.04",3.7930784306318
"90","1988.05",-1.89426564430237
"91","1988.06",-2.89682765241111
"92","1988.07",2.32269003669271
"93","1988.08",-6.20988828393525
"94","1988.09",4.92314331022819
"95","1988.10",6.93685156581733
"96","1988.11",2.18857900677593
"97","1988.12",-2.07715835540651
"98","1989.01",10.4369542726511
"99","1989.02",-0.721663828524891
"100","1989.03",1.05407459222066
"101","1989.04",2.3320102594772
"102","1989.05",-5.669004955542
"103","1989.06",0.0859483846302634
"104","1989.07",15.3043726412794
"105","1989.08",-1.56747927574006
"106","1989.09",0.677086548913521
"107","1989.10",-8.74272859003844
"108","1989.11",5.77066820269865
"109","1989.12",9.39912498383587
"110","1990.01",1.42729180163612
"111","1990.02",-2.41835229344185
"112","1990.03",-2.05601262548817
"113","1990.04",-6.18687192734236
"114","1990.05",14.0423167956463
"115","1990.06",6.65154915946641
"116","1990.07",5.09913435685591
"117","1990.08",-5.52990450291571
"118","1990.09",-7.87399783313715
"119","1990.10",7.58405574088704
"120","1990.11",4.95051906204513
"121","1990.12",0.530293843039987
"122","1991.01",2.94215793087205
"123","1991.02",8.33286042811602
"124","1991.03",-4.62257733224421
"125","1991.04",0.911189056058458
"126","1991.05",-0.556466520183981
"127","1991.06",-7.05757423264732
"128","1991.07",11.7143311134249
"129","1991.08",2.6340449735124
"130","1991.09",5.25203235952525
"131","1991.10",-1.82808123790886
"132","1991.11",-3.10197180136472
"133","1991.12",8.95564272258974
"134","1992.01",-0.466011959532449
"135","1992.02",-1.19755591733934
"136","1992.03",-4.81499972850726
"137","1992.04",12.7673847278975
"138","1992.05",5.95555532045053
"139","1992.06",-2.46740310066589
"140","1992.07",-4.31941026102496
"141","1992.08",-0.000491822533959027
"142","1992.09",-0.357624361453993
"143","1992.10",-8.06850917654643
"144","1992.11",1.96511242734265
"145","1992.12",4.67307126242248
"146","1993.01",-1.27253775108603
"147","1993.02",-2.0021260508041
"148","1993.03",8.28368643334067
"149","1993.04",3.28227384940899
"150","1993.05",1.14964027062989
"151","1993.06",-1.97249094940176
"152","1993.07",1.10146416016335
"153","1993.08",7.01046615696918
"154","1993.09",-0.652582344719106
"155","1993.10",3.82340553173449
"156","1993.11",0.0202076167108737
"157","1993.12",8.32161197103463
"158","1994.01",5.71250014206761
"159","1994.02",-4.20705603441145
"160","1994.03",-5.55434559849217
"161","1994.04",4.51477986985478
"162","1994.05",-5.01182228981609
"163","1994.06",0.60635897329846
"164","1994.07",5.81781245491235
"165","1994.08",6.22110898619625
"166","1994.09",-3.95165790461771
"167","1994.10",5.89240840541895
"168","1994.11",-4.27127847121649
"169","1994.12",0.193561639708342
"170","1995.01",-0.425104730198705
