"","RET"
"1990-01-01",9.4853721216
"1990-02-01",8.6883626176
"1990-03-01",6.759481337
"1990-04-01",1.4811895673
"1990-05-01",8.4041120842
"1990-06-01",17.7889132378
"1990-07-01",20.5842191524
"1990-08-01",3.7713599958
"1990-09-01",-0.808773149099998
"1990-10-01",4.7996997702
"1990-11-01",1.7175128552
"1990-12-01",5.4080715301
"1991-01-01",11.0345687408
"1991-02-01",12.3922227094
"1991-03-01",9.9763252012
"1991-04-01",13.5161862283
"1991-05-01",15.2630719537
"1991-06-01",12.1811418258
"1991-07-01",17.2248992704
"1991-08-01",22.6501630329
"1991-09-01",29.1660450812
"1991-10-01",41.6258662842
"1991-11-01",37.1786724987
"1991-12-01",38.9779055952
"1992-01-01",38.2964034961
"1992-02-01",40.3405437936
"1992-03-01",34.1356231177
"1992-04-01",53.0967103588
"1992-05-01",64.316724534
"1992-06-01",62.6914437414
"1992-07-01",58.9291967573
"1992-08-01",63.9446449046
"1992-09-01",55.5270264339
"1992-10-01",49.0823644705
"1992-11-01",49.6949226787
"1992-12-01",59.0876830345
"1993-01-01",60.6652607593
"1993-02-01",55.6536521305
"1993-03-01",67.7997284782
"1993-04-01",80.4822841109
"1993-05-01",91.4163949114
"1993-06-01",87.5468113511
"1993-07-01",88.2809382967
"1993-08-01",99.8146680784
"1993-09-01",101.3050378369
"1993-10-01",106.7099549187
"1993-11-01",107.6438918953
"1993-12-01",121.4746016621
"1994-01-01",140.5058563038
"1994-02-01",133.57197383
"1994-03-01",124.2412442522
"1994-04-01",123.8211820007
"1994-05-01",122.2643373263
"1994-06-01",120.5081668641
"1994-07-01",126.4838766867
"1994-08-01",132.0700363697
"1994-09-01",132.6701917705
"1994-10-01",136.9393397944
"1994-11-01",134.072974294
"1994-12-01",133.4718040911
"1995-01-01",140.2832937729
"1995-02-01",140.3858408882
"1995-03-01",142.9339215312
"1995-04-01",143.4006506304
"1995-05-01",145.5899993273
"1995-06-01",147.4616729837
"1995-07-01",155.2986542196
"1995-08-01",161.0850895613
"1995-09-01",167.2425504949
"1995-10-01",163.3813626088
"1995-11-01",161.5190639635
"1995-12-01",163.8366562441
"1996-01-01",161.9615526599
"1996-02-01",174.8499306357
"1996-03-01",174.6228925948
"1996-04-01",183.5231740856
"1996-05-01",196.0753850784
"1996-06-01",193.7485941712
"1996-07-01",198.6151646792
"1996-08-01",205.8539050609
"1996-09-01",207.1514003015
"1996-10-01",215.2530603572
"1996-11-01",219.4501661815
"1996-12-01",224.5020542128
"1997-01-01",225.7889693063
"1997-02-01",231.9572116521
"1997-03-01",237.6536316269
"1997-04-01",233.7493436301
"1997-05-01",234.4962251921
"1997-06-01",233.7951983199
"1997-07-01",234.6844469304
"1997-08-01",230.6320453076
"1997-09-01",238.154882734
"1997-10-01",244.8499926939
"1997-11-01",245.4029171716
"1997-12-01",250.8853987284
"1998-01-01",254.0037396846
"1998-02-01",258.5784186604
"1998-03-01",275.868105842
"1998-04-01",283.0341200069
"1998-05-01",286.4256595872
"1998-06-01",284.868844489
"1998-07-01",281.296566909
"1998-08-01",269.9260248059
"1998-09-01",268.1678379744
"1998-10-01",267.8336064258
"1998-11-01",267.040960721
"1998-12-01",268.6632604977
"1999-01-01",273.93010468
"1999-02-01",277.1492228179
"1999-03-01",279.5005909839
"1999-04-01",275.5645088935
"1999-05-01",273.4422979142
"1999-06-01",274.4340026714
"1999-07-01",289.0782947564
"1999-08-01",290.5522334646
"1999-09-01",294.3799451685
"1999-10-01",300.8463449814
"1999-11-01",314.5627374799
"1999-12-01",330.2464648587
"2000-01-01",339.6814473856
"2000-02-01",346.7014216343
"2000-03-01",323.7539843771
"2000-04-01",297.490924242
"2000-05-01",280.0074502708
"2000-06-01",283.1638395368
"2000-07-01",283.1493089203
"2000-08-01",283.3229977451
"2000-09-01",292.1922774667
"2000-10-01",283.5951406451
"2000-11-01",262.5783092532
"2000-12-01",277.2386239538
"2001-01-01",276.1078365356
"2001-02-01",262.8758373009
"2001-03-01",254.2291369309
"2001-04-01",254.6630563941
"2001-05-01",260.7133174413
"2001-06-01",253.0802377659
"2001-07-01",247.8847527615
"2001-08-01",257.1883191293
"2001-09-01",248.6405130425
"2001-10-01",246.4667992097
"2001-11-01",254.9118941541
"2001-12-01",263.0288076012
"2002-01-01",258.9850225616
"2002-02-01",261.136149994
"2002-03-01",269.8288057289
"2002-04-01",276.7219048978
"2002-05-01",271.5975601712
"2002-06-01",270.2756773627
"2002-07-01",267.5117810327
"2002-08-01",270.5892316217
"2002-09-01",265.1064685868
"2002-10-01",263.7735372915
"2002-11-01",270.1883938807
"2002-12-01",271.8386076422
"2003-01-01",265.0871348495
"2003-02-01",259.5083575739
"2003-03-01",257.1899884435
"2003-04-01",261.8404838043
"2003-05-01",271.5436584611
"2003-06-01",276.5285769392
"2003-07-01",280.873846383
"2003-08-01",285.3611441671
"2003-09-01",288.4694904811
"2003-10-01",292.9976859283
"2003-11-01",297.7034033776
"2003-12-01",306.8302373781
"2004-01-01",310.6451309717
"2004-02-01",313.8467809877
"2004-03-01",312.2706167538
"2004-04-01",306.563332575
"2004-05-01",305.5316853335
"2004-06-01",312.7172676305
"2004-07-01",306.9177432527
"2004-08-01",309.7920429366
"2004-09-01",313.9951270197
"2004-10-01",320.1258226835
"2004-11-01",326.2104582104
"2004-12-01",332.2760089145
"2005-01-01",332.1451861891
"2005-02-01",336.5407181712
"2005-03-01",332.6912042188
"2005-04-01",333.6039031521
"2005-05-01",330.3398581861
"2005-06-01",332.1116951125
"2005-07-01",334.1817476872
"2005-08-01",339.4522075097
"2005-09-01",343.2899606947
"2005-10-01",339.2462351844
"2005-11-01",346.7745224082
"2005-12-01",349.4684033745
"2006-01-01",368.5505410116
"2006-02-01",368.9844515817
"2006-03-01",371.8067193561
"2006-04-01",379.883905096
"2006-05-01",376.4850352078
"2006-06-01",373.4502490883
"2006-07-01",371.803777243
"2006-08-01",377.5755891635
"2006-09-01",379.2451270455
"2006-10-01",385.2543854138
"2006-11-01",391.2793682292
"2006-12-01",399.9518866288
"2007-01-01",401.7357424241
"2007-02-01",402.1407258892
"2007-03-01",406.2258878289
"2007-04-01",414.3213618663
"2007-05-01",420.9217859935
"2007-06-01",423.4448977089
"2007-07-01",422.3592085236
"2007-08-01",420.7797138282
"2007-09-01",420.8753649067
"2007-10-01",428.4531604282
"2007-11-01",423.8464624205
"2007-12-01",424.5709252938
"2008-01-01",417.21985715
"2008-02-01",417.0056556473
"2008-03-01",411.9877128941
"2008-04-01",413.5076965034
"2008-05-01",413.3766941425
"2008-06-01",419.6955874522
"2008-07-01",411.5416678031
"2008-08-01",404.1670541345
"2008-09-01",390.0881139659
"2008-10-01",368.7232859537
"2008-11-01",367.2603441398
"2008-12-01",366.6755964087
"2009-01-01",374.5153370359
"2009-02-01",377.8583398455
"2009-03-01",387.6428893585
"2009-04-01",395.2417597422
"2009-05-01",419.4019363817
"2009-06-01",417.7449823134
"2009-07-01",422.5719011693
"2009-08-01",418.7826695597
"2009-09-01",429.4952888586
"2009-10-01",436.6699237113
"2009-11-01",436.8826644084
"2009-12-01",441.253539087
"2010-01-01",450.5055200012
"2010-02-01",442.2428325801
"2010-03-01",455.5527109155
"2010-04-01",462.0294973655
"2010-05-01",452.6954224399
"2010-06-01",457.4940270892
"2010-07-01",484.2872571135
"2010-08-01",488.7237128557
"2010-09-01",500.7282428169
"2010-10-01",496.2282414249
"2010-11-01",501.2929689753
"2010-12-01",513.4720492435
"2011-01-01",520.0556008501
"2011-02-01",520.4916731906
"2011-03-01",519.9595124501
"2011-04-01",533.9338328846
"2011-05-01",529.5036749522
"2011-06-01",527.5489514277
"2011-07-01",529.7904494079
"2011-08-01",519.5447427821
"2011-09-01",507.7428476571
"2011-10-01",517.9274551452
"2011-11-01",517.6858921614
"2011-12-01",512.7699230773
"2012-01-01",513.2769235274
"2012-02-01",515.572009853
"2012-03-01",519.9506927828
"2012-04-01",529.4717448636
"2012-05-01",520.7734437526
"2012-06-01",526.186235684
"2012-07-01",524.7414117614
"2012-08-01",525.7776960797
"2012-09-01",526.4528388162
"2012-10-01",528.1515424323
"2012-11-01",524.8211007469
"2012-12-01",524.2356117805
"2013-01-01",530.4608390461
"2013-02-01",532.2400292732
"2013-03-01",537.4512320234
"2013-04-01",542.8335880928
"2013-05-01",545.5052716178
"2013-06-01",544.4844060988
"2013-07-01",551.81140537
"2013-08-01",546.018460172
"2013-09-01",549.189253114
"2013-10-01",549.6048401195
"2013-11-01",554.4037464779
"2013-12-01",557.1298924301
"2014-01-01",568.1197007142
"2014-02-01",578.4212751624
"2014-03-01",567.1384874691
"2014-04-01",562.5000617593
"2014-05-01",563.7826292031
"2014-06-01",562.0112968141
"2014-07-01",558.7885338502
"2014-08-01",559.9544545018
"2014-09-01",560.2361206035
"2014-10-01",559.0968026628
"2014-11-01",566.3437670876
"2014-12-01",568.3948814037
"2015-01-01",567.5803576939
"2015-02-01",574.2184279805
"2015-03-01",576.3487099439
"2015-04-01",580.5161659952
"2015-05-01",580.8572164403
"2015-06-01",579.9479514196
"2015-07-01",584.2856962775
"2015-08-01",579.6266426925
"2015-09-01",579.4764688686
"2015-10-01",583.6505278233
"2015-11-01",582.7766496359
"2015-12-01",585.6307839889
"2016-01-01",578.2481931612
"2016-02-01",575.5432958923
"2016-03-01",581.1802669418
"2016-04-01",579.1180611892
"2016-05-01",584.1071712599
"2016-06-01",571.217969076
"2016-07-01",576.9882025079
"2016-08-01",580.4967294483
"2016-09-01",584.5514784332
"2016-10-01",577.3957522753
"2016-11-01",578.8078074261
"2016-12-01",577.8013955832
"2017-01-01",584.1269548114
"2017-02-01",586.6556626026
"2017-03-01",588.8625798992
"2017-04-01",600.2613994835
"2017-05-01",611.5859628759
"2017-06-01",612.1738991269
"2017-07-01",613.0052275326
"2017-08-01",617.4579812992
"2017-09-01",620.9228811589
"2017-10-01",627.0538834178
"2017-11-01",623.6218483648
"2017-12-01",627.2479168195
"2018-01-01",624.3478627971
"2018-02-01",625.4782585189
"2018-03-01",622.9722710419
"2018-04-01",620.0804504858
"2018-05-01",618.732326427
"2018-06-01",620.0956311258
"2018-07-01",624.191540972
"2018-08-01",626.2946410701
"2018-09-01",625.0575775612
"2018-10-01",616.7430208128
"2018-11-01",614.551069766
"2018-12-01",611.8939516007
"2019-01-01",615.9075591045
"2019-02-01",619.2825547817
"2019-03-01",623.3504742193
"2019-04-01",626.9319998991
"2019-05-01",624.4804888945
"2019-06-01",626.7196914622
"2019-07-01",612.3553120253
"2019-08-01",607.2140013133
"2019-09-01",605.7210322161
"2019-10-01",612.5119772298
"2019-11-01",618.4864759516
"2019-12-01",631.1440629123
"2020-01-01",629.8114682321
"2020-02-01",620.3049533456
"2020-03-01",604.5366534523
"2020-04-01",622.7345267527
"2020-05-01",635.5639835926
"2020-06-01",634.2895812412
"2020-07-01",655.0764558933
"2020-08-01",661.3089517969
"2020-09-01",655.9596525143
"2020-10-01",658.2833363393
"2020-11-01",678.2951001324
"2020-12-01",691.3250446042
"2021-01-01",690.7183615844
"2021-02-01",695.5055295115
"2021-03-01",690.8255370548
"2021-04-01",698.0804418732
"2021-05-01",698.2210180136
"2021-06-01",690.7272001008
"2021-07-01",692.0834401704
"2021-08-01",692.1037157541
"2021-09-01",685.1529757992
"2021-10-01",684.6866759709
"2021-11-01",671.6094648359
"2021-12-01",675.5469450223
