"","ym","RET"
"1",1990-01-01,9.5039926317
"2",1990-02-01,-5.2579056369
"3",1990-03-01,-5.2177481085
"4",1990-04-01,-1.4261044994
"5",1990-05-01,5.6360749763
"6",1990-06-01,6.1955465691
"7",1990-07-01,9.0484688358
"8",1990-08-01,-20.2827049529
"9",1990-09-01,-5.4550035256
"10",1990-10-01,4.8198643804
"11",1990-11-01,4.208811422
"12",1990-12-01,4.1324166729
"13",1991-01-01,-2.0701783572
"14",1991-02-01,-0.1325453457
"15",1991-03-01,-5.6732713039
"16",1991-04-01,1.2387928275
"17",1991-05-01,-2.4952857232
"18",1991-06-01,-20.7645139576
"19",1991-07-01,5.3617603928
"20",1991-08-01,-0.6512134862
"21",1991-09-01,7.3443801317
"22",1991-10-01,-2.6103458554
"23",1991-11-01,-2.0193266339
"24",1991-12-01,4.6236890398
"25",1992-01-01,-5.1366944132
"26",1992-02-01,-2.2744850385
"27",1992-03-01,-2.3210035879
"28",1992-04-01,5.7766197054
"29",1992-05-01,10.8270896193
"30",1992-06-01,-1.3521897512
"31",1992-07-01,-5.5144461295
"32",1992-08-01,-5.0798322542
"33",1992-09-01,-9.4034833827
"34",1992-10-01,-12.2775652058
"35",1992-11-01,10.6011603151
"36",1992-12-01,3.473467426
"37",1993-01-01,2.8958080481
"38",1993-02-01,-0.9845370923
"39",1993-03-01,4.6667469649
"40",1993-04-01,-0.5789982312
"41",1993-05-01,-3.0822661724
"42",1993-06-01,-3.8873531884
"43",1993-07-01,-0.4478451875
"44",1993-08-01,4.7269474441
"45",1993-09-01,-1.0399555392
"46",1993-10-01,-2.6772332146
"47",1993-11-01,-2.6603942929
"48",1993-12-01,11.175905649
"49",1994-01-01,24.2181380437
"50",1994-02-01,3.5705619553
"51",1994-03-01,-2.8989404103
"52",1994-04-01,-7.4430684529
"53",1994-05-01,-0.3838861412
"54",1994-06-01,-1.385709808
"55",1994-07-01,-11.5485387781
"56",1994-08-01,9.752981941
"57",1994-09-01,8.8228270328
"58",1994-10-01,1.4118233018
"59",1994-11-01,1.8144243044
"60",1994-12-01,8.0597547054
"61",1995-01-01,-2.7608447503
"62",1995-02-01,-2.4164421686
"63",1995-03-01,3.9331850512
"64",1995-04-01,1.1056306094
"65",1995-05-01,-1.8280458395
"66",1995-06-01,-1.5820330265
"67",1995-07-01,10.5201886748
"68",1995-08-01,0.2960665726
"69",1995-09-01,11.6366906332
"70",1995-10-01,-4.3523149432
"71",1995-11-01,-2.1174636356
"72",1995-12-01,14.7375558098
"73",1996-01-01,2.5788168136
"74",1996-02-01,0.985798072500001
"75",1996-03-01,-4.2115140696
"76",1996-04-01,-1.6395076842
"77",1996-05-01,7.5270437183
"78",1996-06-01,5.2226215837
"79",1996-07-01,-8.0833695087
"80",1996-08-01,7.3594752372
"81",1996-09-01,1.5142026049
"82",1996-10-01,8.1108484865
"83",1996-11-01,-2.3271812066
"84",1996-12-01,0.5820918418
"85",1997-01-01,-9.7500836174
"86",1997-02-01,7.4789515683
"87",1997-03-01,-3.7265176272
"88",1997-04-01,0.391371802100001
"89",1997-05-01,3.1556042243
"90",1997-06-01,0.206364565
"91",1997-07-01,-6.7173274874
"92",1997-08-01,-0.2715356649
"93",1997-09-01,-0.7845446891
"94",1997-10-01,0.8270474606
"95",1997-11-01,-9.6618577351
"96",1997-12-01,-4.3971332683
"97",1998-01-01,0.3474753217
"98",1998-02-01,-25.846245774
"99",1998-03-01,25.3528556367
"100",1998-04-01,15.592643541
"101",1998-05-01,12.6594601987
"102",1998-06-01,3.3698746094
"103",1998-07-01,-5.9886375641
"104",1998-08-01,-18.7156057728
"105",1998-09-01,-0.4832656708
"106",1998-10-01,1.8351899565
"107",1998-11-01,-2.3073334536
"108",1998-12-01,-7.0968346432
"109",1999-01-01,3.6912571647
"110",1999-02-01,5.0666970287
"111",1999-03-01,2.0741172361
"112",1999-04-01,13.9538749939
"113",1999-05-01,7.220562101
"114",1999-06-01,1.5650287764
"115",1999-07-01,3.5048170115
"116",1999-08-01,7.0475137174
"117",1999-09-01,-1.1191270959
"118",1999-10-01,2.3421407524
"119",1999-11-01,30.3743704305
"120",1999-12-01,13.087515545
"121",2000-01-01,6.8828735441
"122",2000-02-01,26.3139061952
"123",2000-03-01,-2.9929369029
"124",2000-04-01,-21.5595113588
"125",2000-05-01,2.8876173915
"126",2000-06-01,21.539105597
"127",2000-07-01,-3.3591436313
"128",2000-08-01,-2.7605451038
"129",2000-09-01,-0.7929519277
"130",2000-10-01,0.245221587499999
"131",2000-11-01,-2.8751136583
"132",2000-12-01,5.9892706541
"133",2001-01-01,-3.0333842624
"134",2001-02-01,-3.1593355444
"135",2001-03-01,-3.8801658884
"136",2001-04-01,14.8111807534
"137",2001-05-01,-0.4720537079
"138",2001-06-01,-15.4089871377
"139",2001-07-01,-11.683313458
"140",2001-08-01,-18.6825703661
"141",2001-09-01,-12.8575684868
"142",2001-10-01,6.2052243729
"143",2001-11-01,9.6102869737
"144",2001-12-01,11.4906938271
"145",2002-01-01,-4.6472860864
"146",2002-02-01,10.3132555197
"147",2002-03-01,5.4790084211
"148",2002-04-01,-7.2552435073
"149",2002-05-01,1.4937960763
"150",2002-06-01,-10.3803352161
"151",2002-07-01,-7.9300625776
"152",2002-08-01,3.6418918029
"153",2002-09-01,-9.9623489131
"154",2002-10-01,-0.1374092254
"155",2002-11-01,12.6721423221
"156",2002-12-01,-0.00281147450000005
"157",2003-01-01,-4.5871627546
"158",2003-02-01,-15.0291349238
"159",2003-03-01,-7.0796072856
"160",2003-04-01,15.9821480835
"161",2003-05-01,24.8753208852
"162",2003-06-01,3.914983832
"163",2003-07-01,2.9391052456
"164",2003-08-01,-0.589733012899999
"165",2003-09-01,14.540643662
"166",2003-10-01,16.3190344658
"167",2003-11-01,7.9182223541
"168",2003-12-01,14.6292350434
"169",2004-01-01,3.0123901609
"170",2004-02-01,4.8489214961
"171",2004-03-01,0.1040647619
"172",2004-04-01,-8.1329082476
"173",2004-05-01,-3.5422701792
"174",2004-06-01,10.4126948517
"175",2004-07-01,-0.840521940600001
"176",2004-08-01,-3.7946335484
"177",2004-09-01,-4.3317395686
"178",2004-10-01,4.3673302906
"179",2004-11-01,4.5330324747
"180",2004-12-01,6.4221202653
"181",2005-01-01,-1.8743864082
"182",2005-02-01,-1.1591050538
"183",2005-03-01,1.9567435061
"184",2005-04-01,-11.3554147003
"185",2005-05-01,-5.9090643064
"186",2005-06-01,2.3386601763
"187",2005-07-01,1.3297768003
"188",2005-08-01,17.8614442553
"189",2005-09-01,-2.6269528188
"190",2005-10-01,-1.1335007002
"191",2005-11-01,7.0283538986
"192",2005-12-01,3.6946708447
"193",2006-01-01,12.883526346
"194",2006-02-01,2.8778936276
"195",2006-03-01,3.2068104459
"196",2006-04-01,6.1535732396
"197",2006-05-01,-5.6204212127
"198",2006-06-01,-13.2214432737
"199",2006-07-01,-11.805994787
"200",2006-08-01,-3.4799399742
"201",2006-09-01,8.3071462539
"202",2006-10-01,1.6174664877
"203",2006-11-01,1.0659407623
"204",2006-12-01,0.8221185503
"205",2007-01-01,8.8525180956
"206",2007-02-01,3.2984442574
"207",2007-03-01,0.8294702193
"208",2007-04-01,-0.2295577126
"209",2007-05-01,-3.8894063584
"210",2007-06-01,-5.2300506991
"211",2007-07-01,-3.8128247545
"212",2007-08-01,1.8164972442
"213",2007-09-01,-0.4441162876
"214",2007-10-01,15.0441989434
"215",2007-11-01,-4.3537980576
"216",2007-12-01,-10.1827506939
"217",2008-01-01,-6.0075090968
"218",2008-02-01,15.4860515133
"219",2008-03-01,-6.4057362042
"220",2008-04-01,0.242974179400001
"221",2008-05-01,-5.2792031379
"222",2008-06-01,-16.8683084678
"223",2008-07-01,-0.4596332201
"224",2008-08-01,3.9570786343
"225",2008-09-01,-17.1341988754
"226",2008-10-01,-22.8467519958
"227",2008-11-01,6.3886442075
"228",2008-12-01,4.6906997044
"229",2009-01-01,-3.3508349467
"230",2009-02-01,0.4099019278
"231",2009-03-01,7.4974150812
"232",2009-04-01,13.6915604797
"233",2009-05-01,12.787905115
"234",2009-06-01,9.7346158605
"235",2009-07-01,8.5510164499
"236",2009-08-01,-1.2287219455
"237",2009-09-01,-0.1739927268
"238",2009-10-01,1.0925801607
"239",2009-11-01,-2.0582172026
"240",2009-12-01,-1.7150992893
"241",2010-01-01,-0.2784538827
"242",2010-02-01,-2.6313946695
"243",2010-03-01,-0.4203236196
"244",2010-04-01,2.1889060882
"245",2010-05-01,-2.8057107392
"246",2010-06-01,-1.345037015
"247",2010-07-01,-1.5578306592
"248",2010-08-01,9.2673733854
"249",2010-09-01,-8.0867341229
"250",2010-10-01,66.7935486661
"251",2010-11-01,-6.329641002
"252",2010-12-01,-1.8444138753
"253",2011-01-01,2.6165799555
"254",2011-02-01,9.9305981646
"255",2011-03-01,4.9266852469
"256",2011-04-01,-1.9244899553
"257",2011-05-01,0.4526832099
"258",2011-06-01,-10.3481173779
"259",2011-07-01,1.0747396839
"260",2011-08-01,-0.7205968988
"261",2011-09-01,0.729726817100001
"262",2011-10-01,0.6527654126
"263",2011-11-01,-10.2046922911
"264",2011-12-01,-5.908296294
"265",2012-01-01,16.1779586614
"266",2012-02-01,18.9357786907
"267",2012-03-01,2.3702874752
"268",2012-04-01,2.9762229034
"269",2012-05-01,-14.0606726399
"270",2012-06-01,-2.195652779
"271",2012-07-01,2.2512845026
"272",2012-08-01,15.7609956005
"273",2012-09-01,0.0926223407999999
"274",2012-10-01,19.6520460612
"275",2012-11-01,-10.3429746736
"276",2012-12-01,-6.6247512942
"277",2013-01-01,-3.812923189
"278",2013-02-01,15.8842890389
"279",2013-03-01,-4.2016304099
"280",2013-04-01,-6.3076026575
"281",2013-05-01,-1.0528422922
"282",2013-06-01,-5.0101198984
"283",2013-07-01,3.5198492725
"284",2013-08-01,8.2765867531
"285",2013-09-01,8.6098244765
"286",2013-10-01,0.9987836356
"287",2013-11-01,-4.2507237522
"288",2013-12-01,-2.3319575803
"289",2014-01-01,4.0046544494
"290",2014-02-01,-15.3179801994
"291",2014-03-01,-6.3368701057
"292",2014-04-01,8.2759839379
"293",2014-05-01,-9.2924798344
"294",2014-06-01,0.3657331254
"295",2014-07-01,2.5107199119
"296",2014-08-01,16.6679002922
"297",2014-09-01,8.713349519
"298",2014-10-01,-8.8420849992
"299",2014-11-01,-8.3397263369
"300",2014-12-01,-1.7083110436
"301",2015-01-01,-7.8214342773
"302",2015-02-01,11.9840968981
"303",2015-03-01,-7.4773449491
"304",2015-04-01,7.1841807138
"305",2015-05-01,-4.2575064558
"306",2015-06-01,-0.6274218182
"307",2015-07-01,-8.1825243898
"308",2015-08-01,17.026107621
"309",2015-09-01,-6.5326494215
"310",2015-10-01,0.4660321514
"311",2015-11-01,-4.1715777849
"312",2015-12-01,11.5021361859
"313",2016-01-01,-4.7002435236
"314",2016-02-01,0.121061439
"315",2016-03-01,2.4251732474
"316",2016-04-01,-8.1780392318
"317",2016-05-01,1.5518428461
"318",2016-06-01,-14.3344644208
"319",2016-07-01,11.3799468535
"320",2016-08-01,13.2125191606
"321",2016-09-01,3.1068052963
"322",2016-10-01,-9.0822061962
"323",2016-11-01,6.7983865646
"324",2016-12-01,-2.4372257741
"325",2017-01-01,10.567814151
"326",2017-02-01,-2.6541290818
"327",2017-03-01,-8.8307144279
"328",2017-04-01,0.7923034908
"329",2017-05-01,4.943238316
"330",2017-06-01,-3.7354457666
"331",2017-07-01,-4.24233398
"332",2017-08-01,1.3207177531
"333",2017-09-01,14.7341642185
"334",2017-10-01,-1.9394991713
"335",2017-11-01,5.0475681196
"336",2017-12-01,-13.1841417182
"337",2018-01-01,-0.894227754199999
"338",2018-02-01,-4.1334849401
"339",2018-03-01,-6.8850344944
"340",2018-04-01,-9.0629853012
"341",2018-05-01,7.7971889334
"342",2018-06-01,-8.7047254127
"343",2018-07-01,3.2474224939
"344",2018-08-01,5.826798008
"345",2018-09-01,-11.7873922042
"346",2018-10-01,-8.1301396892
"347",2018-11-01,-2.7184667317
"348",2018-12-01,-16.1491974053
"349",2019-01-01,21.4960024536
"350",2019-02-01,5.4150481408
"351",2019-03-01,-1.663553626
"352",2019-04-01,74.8632281737
"353",2019-05-01,-2.3131008583
"354",2019-06-01,-2.0687203913
"355",2019-07-01,2.1181563722
"356",2019-08-01,-4.1529450012
"357",2019-09-01,-4.8408839901
"358",2019-10-01,8.046535131
"359",2019-11-01,-10.3685198222
"360",2019-12-01,5.9088985461
"361",2020-01-01,11.78261093
"362",2020-02-01,-22.9143295601
"363",2020-03-01,-22.3727778375
"364",2020-04-01,8.3164341855
"365",2020-05-01,30.7105416028
"366",2020-06-01,15.9545825659
"367",2020-07-01,7.91439892
"368",2020-08-01,5.6265638878
"369",2020-09-01,-14.4187166785
"370",2020-10-01,-6.3615939344
"371",2020-11-01,26.8531919228
"372",2020-12-01,3.4885406905
"373",2021-01-01,26.2245287712
"374",2021-02-01,28.5278617998
"375",2021-03-01,-2.3902223279
"376",2021-04-01,12.5894382469
"377",2021-05-01,-1.9877831156
"378",2021-06-01,-13.6740925948
"379",2021-07-01,-6.0386071588
"380",2021-08-01,-4.4809916355
"381",2021-09-01,6.426714585
"382",2021-10-01,-0.8511883888
"383",2021-11-01,-11.8554920251
"384",2021-12-01,12.8043914231
