"","Id","ym","RET.USD"
"152","135084",2010-06-01,-21.2583
"153","135084",2010-12-01,-12.2132
"154","135084",2011-03-01,25.8112
"155","135084",2011-06-01,-20.2903
"156","135084",2011-09-01,-17.0063
"157","135084",2011-12-01,-31.4698
"158","135084",2012-03-01,-13.0271
"159","135084",2012-06-01,-3.0073
"160","135084",2012-09-01,0.4101
"161","135084",2012-12-01,NA
"162","135084",2013-03-01,NA
"163","135084",2013-06-01,NA
"164","135084",2013-09-01,NA
"165","135084",2013-12-01,NA
"166","135084",2014-03-01,NA
"167","135084",2014-06-01,NA
"168","135084",2014-09-01,NA
"169","135084",2014-12-01,NA
"170","135084",2015-03-01,NA
"171","135084",2015-06-01,NA
"172","135084",2015-09-01,NA
"173","135084",2015-12-01,NA
"174","135084",2016-03-01,NA
"175","135084",2016-06-01,NA
"176","135084",2016-09-01,NA
"177","135084",2016-12-01,NA
"178","135084",2017-03-01,NA
"179","135084",2017-06-01,NA
"180","135084",2017-12-01,NA
"181","135084",2018-03-01,NA
"182","135084",2018-06-01,NA
"183","135084",2018-09-01,NA
"184","135084",2018-12-01,NA
"185","135084",2019-03-01,NA
"186","135084",2019-06-01,NA
"187","135084",2019-12-01,NA
"188","135084",2020-09-01,NA
"189","135084",2020-12-01,NA
"190","135084",2021-03-01,NA
"191","135084",2021-06-01,NA
"192","135084",2021-09-01,NA
"193","135084",2021-12-01,NA
"194","135090",1994-12-01,-9.0803
"195","135090",1995-03-01,-4.7278
"196","135090",1995-06-01,1.0752
"197","135090",1995-09-01,28.9554
"198","135090",1995-12-01,-4.6449
"199","135090",1996-03-01,4.1117
"200","135090",1996-06-01,-10.523
"201","135090",1996-09-01,-14.3666
"202","135090",1996-12-01,4.3701
"203","135090",1997-03-01,-6.9681
"204","135090",1997-06-01,31.0881
"205","135090",1997-09-01,8.1242
"206","135090",1997-12-01,-0.9262
"207","135090",1998-03-01,19.4197
"208","135090",1998-06-01,40.7498
"209","135090",1998-09-01,-12.3373
"210","135090",1998-12-01,33.4979
"211","135090",1999-06-01,4.2716
"212","135090",1999-09-01,-5.7362
"213","135090",1999-12-01,13.3808
"214","135090",2000-03-01,11.8571
"215","135090",2000-06-01,-15.1025
"216","135090",2000-09-01,-22.0136
"217","135090",2000-12-01,4.1185
"218","135090",2001-03-01,-14.4965
"219","135090",2001-06-01,-27.0334
"220","135090",2001-09-01,-41.8218
"221","135090",2001-12-01,-1.8976
"222","135090",2002-03-01,-26.2634
"223","135090",2002-06-01,-36.036
"224","135090",2002-09-01,-44.7493
"225","135090",2002-12-01,33.5019
"226","135090",2003-06-01,-17.6353
"227","135090",2003-09-01,25.3862
"228","135090",2003-12-01,6.9008
"229","135090",2004-03-01,-12.4827
