"","ym","RET"
"185",May 2005,-5.9090643064
"186",Jun 2005,2.3386601763
"187",Jul 2005,1.3297768003
"188",Aug 2005,17.8614442553
"189",Sep 2005,-2.6269528188
"190",Oct 2005,-1.1335007002
"191",Nov 2005,7.0283538986
"192",Dec 2005,3.6946708447
"193",Jan 2006,12.883526346
"194",Feb 2006,2.8778936276
"195",Mar 2006,3.2068104459
"196",Apr 2006,6.1535732396
"197",May 2006,-5.6204212127
"198",Jun 2006,-13.2214432737
"199",Jul 2006,-11.805994787
"200",Aug 2006,-3.4799399742
"201",Sep 2006,8.3071462539
"202",Oct 2006,1.6174664877
"203",Nov 2006,1.0659407623
"204",Dec 2006,0.8221185503
"205",Jan 2007,8.8525180956
"206",Feb 2007,3.2984442574
"207",Mar 2007,0.8294702193
"208",Apr 2007,-0.2295577126
"209",May 2007,-3.8894063584
"210",Jun 2007,-5.2300506991
"211",Jul 2007,-3.8128247545
"212",Aug 2007,1.8164972442
"213",Sep 2007,-0.4441162876
"214",Oct 2007,15.0441989434
"215",Nov 2007,-4.3537980576
"216",Dec 2007,-10.1827506939
"217",Jan 2008,-6.0075090968
"218",Feb 2008,15.4860515133
"219",Mar 2008,-6.4057362042
"220",Apr 2008,0.242974179400001
"221",May 2008,-5.2792031379
"222",Jun 2008,-16.8683084678
"223",Jul 2008,-0.4596332201
"224",Aug 2008,3.9570786343
"225",Sep 2008,-17.1341988754
"226",Oct 2008,-22.8467519958
"227",Nov 2008,6.3886442075
"228",Dec 2008,4.6906997044
"229",Jan 2009,-3.3508349467
"230",Feb 2009,0.4099019278
"231",Mar 2009,7.4974150812
"232",Apr 2009,13.6915604797
"233",May 2009,12.787905115
"234",Jun 2009,9.7346158605
"235",Jul 2009,8.5510164499
"236",Aug 2009,-1.2287219455
"237",Sep 2009,-0.1739927268
"238",Oct 2009,1.0925801607
"239",Nov 2009,-2.0582172026
"240",Dec 2009,-1.7150992893
"241",Jan 2010,-0.2784538827
"242",Feb 2010,-2.6313946695
"243",Mar 2010,-0.4203236196
"244",Apr 2010,2.1889060882
"245",May 2010,-2.8057107392
"246",Jun 2010,-1.345037015
"247",Jul 2010,-1.5578306592
"248",Aug 2010,9.2673733854
"249",Sep 2010,-8.0867341229
"250",Oct 2010,66.7935486661
"251",Nov 2010,-6.329641002
"252",Dec 2010,-1.8444138753
"253",Jan 2011,2.6165799555
"254",Feb 2011,9.9305981646
"255",Mar 2011,4.9266852469
"256",Apr 2011,-1.9244899553
"257",May 2011,0.4526832099
"258",Jun 2011,-10.3481173779
"259",Jul 2011,1.0747396839
"260",Aug 2011,-0.7205968988
"261",Sep 2011,0.729726817100001
"262",Oct 2011,0.6527654126
"263",Nov 2011,-10.2046922911
"264",Dec 2011,-5.908296294
"265",Jan 2012,16.1779586614
"266",Feb 2012,18.9357786907
"267",Mar 2012,2.3702874752
"268",Apr 2012,2.9762229034
"269",May 2012,-14.0606726399
"270",Jun 2012,-2.195652779
"271",Jul 2012,2.2512845026
"272",Aug 2012,15.7609956005
"273",Sep 2012,0.0926223407999999
"274",Oct 2012,19.6520460612
"275",Nov 2012,-10.3429746736
"276",Dec 2012,-6.6247512942
"277",Jan 2013,-3.812923189
"278",Feb 2013,15.8842890389
"279",Mar 2013,-4.2016304099
"280",Apr 2013,-6.3076026575
"281",May 2013,-1.0528422922
"282",Jun 2013,-5.0101198984
"283",Jul 2013,3.5198492725
"284",Aug 2013,8.2765867531
"285",Sep 2013,8.6098244765
"286",Oct 2013,0.9987836356
"287",Nov 2013,-4.2507237522
"288",Dec 2013,-2.3319575803
"289",Jan 2014,4.0046544494
"290",Feb 2014,-15.3179801994
"291",Mar 2014,-6.3368701057
"292",Apr 2014,8.2759839379
"293",May 2014,-9.2924798344
"294",Jun 2014,0.3657331254
"295",Jul 2014,2.5107199119
"296",Aug 2014,16.6679002922
"297",Sep 2014,8.713349519
