"","RET"
"1990-01-01",7.544957406
"1990-02-01",8.7694563541
"1990-03-01",1.627608731
"1990-04-01",-5.9582340395
"1990-05-01",1.148875138
"1990-06-01",26.3533548439
"1990-07-01",22.0682468497
"1990-08-01",11.3204693211
"1990-09-01",6.4327831127
"1990-10-01",4.3361706593
"1990-11-01",7.4869901099
"1990-12-01",1.0874738173
"1991-01-01",2.1452767852
"1991-02-01",9.0015951196
"1991-03-01",11.4898951196
"1991-04-01",54.4635951196
"1991-05-01",47.1768951196
"1991-06-01",54.126224526
"1991-07-01",64.9231087916
"1991-08-01",82.6686360468
"1991-09-01",89.0044666093
"1991-10-01",101.3608924168
"1991-11-01",95.2563939068
"1991-12-01",91.1233708809
"1992-01-01",90.5763052023
"1992-02-01",90.0613030439
"1992-03-01",83.2800384765
"1992-04-01",108.7490478381
"1992-05-01",121.9024385483
"1992-06-01",116.4542035703
"1992-07-01",111.6535783396
"1992-08-01",122.0015483436
"1992-09-01",113.6664791822
"1992-10-01",111.2474686692
"1992-11-01",114.9918296964
"1992-12-01",128.2230125587
"1993-01-01",134.2774679866
"1993-02-01",131.4652851757
"1993-03-01",138.4230782669
"1993-04-01",142.9850113405
"1993-05-01",145.6786247565
"1993-06-01",144.2709864074
"1993-07-01",146.1383775599
"1993-08-01",158.7158425405
"1993-09-01",160.9184146714
"1993-10-01",160.6165959087
"1993-11-01",160.1532368299
"1993-12-01",164.0493225686
"1994-01-01",171.1386829693
"1994-02-01",173.8901023525
"1994-03-01",168.0748646548
"1994-04-01",169.7064063959
"1994-05-01",168.2346130001
"1994-06-01",167.2810596183
"1994-07-01",171.9848036749
"1994-08-01",173.5547094307
"1994-09-01",173.1722999192
"1994-10-01",173.6779396544
"1994-11-01",173.635741051
"1994-12-01",176.6767489464
"1995-01-01",173.0323127934
"1995-02-01",172.8710604993
"1995-03-01",168.0534655081
"1995-04-01",170.8885584095
"1995-05-01",170.4152545354
"1995-06-01",171.5832546274
"1995-07-01",175.6305663793
"1995-08-01",178.1424113581
"1995-09-01",185.7148254454
"1995-10-01",186.5280296429
"1995-11-01",190.5316993808
"1995-12-01",194.9358454956
"1996-01-01",192.2037974171
"1996-02-01",203.8387036415
"1996-03-01",208.7362989214
"1996-04-01",225.4043397885
"1996-05-01",234.2744915836
"1996-06-01",239.026655092
"1996-07-01",234.1846387966
"1996-08-01",246.1577168065
"1996-09-01",245.3615329873
"1996-10-01",251.4313746272
"1996-11-01",253.8356695525
"1996-12-01",261.8432290055
"1997-01-01",260.5663540992
"1997-02-01",260.0340182806
"1997-03-01",265.9091124774
"1997-04-01",263.305065757
"1997-05-01",269.257563015
"1997-06-01",266.0766828056
"1997-07-01",262.9119096328
"1997-08-01",265.4597679765
"1997-09-01",269.9773559003
"1997-10-01",266.8536841214
"1997-11-01",265.9900180655
"1997-12-01",266.0405209582
"1998-01-01",269.1157319857
"1998-02-01",276.1051501217
"1998-03-01",280.9893252674
"1998-04-01",276.9988928378
"1998-05-01",289.6273382459
"1998-06-01",285.1201721806
"1998-07-01",291.8015421095
"1998-08-01",279.5339065622
"1998-09-01",278.6888938411
"1998-10-01",283.8898833465
"1998-11-01",281.1333313363
"1998-12-01",282.9004066
"1999-01-01",291.1252106091
"1999-02-01",295.1912942161
"1999-03-01",304.1023356079
"1999-04-01",312.9698584332
"1999-05-01",312.6792385308
"1999-06-01",308.9678434538
"1999-07-01",342.1960351688
"1999-08-01",353.9563256344
"1999-09-01",361.4504680762
"1999-10-01",362.8614209487
"1999-11-01",373.1473898566
"1999-12-01",386.9460336697
"2000-01-01",396.513504917
"2000-02-01",440.2039328614
"2000-03-01",412.23787746
"2000-04-01",395.9084109493
"2000-05-01",389.2722443745
"2000-06-01",416.6912873452
"2000-07-01",420.073373218
"2000-08-01",427.6993420071
"2000-09-01",434.0619251972
"2000-10-01",414.8615273451
"2000-11-01",406.8662313225
"2000-12-01",415.8912946334
"2001-01-01",419.5618609683
"2001-02-01",422.7534661028
"2001-03-01",420.8522279207
"2001-04-01",426.6668258382
"2001-05-01",428.0490125349
"2001-06-01",423.4887572972
"2001-07-01",420.095939023
"2001-08-01",418.4623411814
"2001-09-01",407.8262477619
"2001-10-01",410.1914386876
"2001-11-01",411.1832352791
"2001-12-01",419.6844194553
"2002-01-01",417.8993712824
"2002-02-01",418.6094468496
"2002-03-01",424.2251778579
"2002-04-01",439.6296489553
"2002-05-01",437.478528337
"2002-06-01",434.215038476
"2002-07-01",437.0606722119
"2002-08-01",441.6199995933
"2002-09-01",437.5800183836
"2002-10-01",436.6805270323
"2002-11-01",438.5329942883
"2002-12-01",443.6223088401
"2003-01-01",446.392391954
"2003-02-01",441.8666643756
"2003-03-01",445.0368011174
"2003-04-01",451.2966084563
"2003-05-01",452.3096614549
"2003-06-01",457.9423604792
"2003-07-01",469.6662280138
"2003-08-01",489.4235101484
"2003-09-01",483.2291290036
"2003-10-01",489.7328967248
"2003-11-01",499.4356283414
"2003-12-01",507.8907559409
"2004-01-01",515.257615212
"2004-02-01",521.0058489237
"2004-03-01",523.1916612434
"2004-04-01",523.9839899638
"2004-05-01",527.6896787611
"2004-06-01",533.6274323154
"2004-07-01",531.4428035023
"2004-08-01",532.4612198683
"2004-09-01",535.4914262333
"2004-10-01",536.4660115176
"2004-11-01",537.8711457017
"2004-12-01",542.0078974256
"2005-01-01",538.4307845791
"2005-02-01",541.4440224246
"2005-03-01",535.4326562096
"2005-04-01",534.8459254619
"2005-05-01",535.1267576303
"2005-06-01",532.610018001
"2005-07-01",542.9655985934
"2005-08-01",546.5438340219
"2005-09-01",547.6670986818
"2005-10-01",550.6154685352
"2005-11-01",553.1792352316
"2005-12-01",559.3228853286
"2006-01-01",565.5057744151
"2006-02-01",570.4390979304
"2006-03-01",578.7418753136
"2006-04-01",586.1995123213
"2006-05-01",581.8344304553
"2006-06-01",576.7568771923
"2006-07-01",575.0663789779
"2006-08-01",576.4889274184
"2006-09-01",575.8330828541
"2006-10-01",586.2939306604
"2006-11-01",589.7717803316
"2006-12-01",596.5164334889
"2007-01-01",592.284537747
"2007-02-01",592.7249247113
"2007-03-01",602.2168057789
"2007-04-01",606.6145359928
"2007-05-01",614.3465831765
"2007-06-01",615.3932747986
"2007-07-01",614.7185362411
"2007-08-01",612.910230355
"2007-09-01",608.3462659498
"2007-10-01",623.574279026
"2007-11-01",608.530649381
"2007-12-01",604.6100369709
"2008-01-01",596.3805498493
"2008-02-01",591.3594277425
"2008-03-01",580.7554794404
"2008-04-01",582.0946068854
"2008-05-01",572.0524931406
"2008-06-01",574.0104379307
"2008-07-01",565.8814630221
"2008-08-01",557.9271832777
"2008-09-01",542.3011961725
"2008-10-01",509.1713540495
"2008-11-01",494.6243675226
"2008-12-01",496.5620772132
"2009-01-01",504.1241518112
"2009-02-01",504.0212711462
"2009-03-01",514.1432165168
"2009-04-01",522.6243637224
"2009-05-01",543.0072898534
"2009-06-01",538.478905987
"2009-07-01",531.7915721694
"2009-08-01",534.1637847444
"2009-09-01",541.4736477878
"2009-10-01",537.153452198
"2009-11-01",551.9468351362
"2009-12-01",538.9554457554
"2010-01-01",528.1455669042
"2010-02-01",523.4169873908
"2010-03-01",527.2713052852
"2010-04-01",532.6031230735
"2010-05-01",523.3357673552
"2010-06-01",520.6134493549
"2010-07-01",547.543749461
"2010-08-01",550.0695265853
"2010-09-01",559.2459122762
"2010-10-01",551.9313296121
"2010-11-01",560.7616658199
"2010-12-01",578.5073438484
"2011-01-01",588.0786447779
"2011-02-01",592.6464495961
"2011-03-01",586.4822170919
"2011-04-01",598.818737086
"2011-05-01",591.8706799455
"2011-06-01",598.1341656292
"2011-07-01",606.303144405
"2011-08-01",600.0683957646
"2011-09-01",586.6911151103
"2011-10-01",598.7217932278
"2011-11-01",595.712047203
"2011-12-01",592.6737645181
"2012-01-01",584.6195932943
"2012-02-01",582.1862993146
"2012-03-01",588.023096461
"2012-04-01",591.4389150455
"2012-05-01",581.2384811226
"2012-06-01",586.8604410936
"2012-07-01",588.8813671592
"2012-08-01",593.0095240643
"2012-09-01",593.4276349113
"2012-10-01",602.1491325391
"2012-11-01",603.6394962364
"2012-12-01",608.3963274344
"2013-01-01",615.4855522562
"2013-02-01",619.9129982556
"2013-03-01",623.347538382
"2013-04-01",626.6909807848
"2013-05-01",628.5086613987
"2013-06-01",639.2797346583
"2013-07-01",644.9655169757
"2013-08-01",643.3203425982
"2013-09-01",643.5230808867
"2013-10-01",639.9121780061
"2013-11-01",644.6385774734
"2013-12-01",648.5743454568
"2014-01-01",651.4045399602
"2014-02-01",655.210427583
"2014-03-01",644.5489837443
"2014-04-01",644.2435995044
"2014-05-01",644.1392743704
"2014-06-01",638.739011464
"2014-07-01",639.2747345679
"2014-08-01",631.2715506308
"2014-09-01",630.1644276349
"2014-10-01",633.8240763843
"2014-11-01",635.3154490668
"2014-12-01",635.1619012922
"2015-01-01",636.5645774108
"2015-02-01",642.4408625668
"2015-03-01",633.6908317969
"2015-04-01",636.165797399
"2015-05-01",642.6287412529
"2015-06-01",640.9776981054
