"","ym","RET"
"1",Jan 1990,3.940600558
"2",Feb 1990,-3.4163391936
"3",Mar 1990,0.4568107439
"4",Apr 1990,-6.0872613715
"5",May 1990,8.8983722372
"6",Jun 1990,-1.3127847862
"7",Jul 1990,0.6915009665
"8",Aug 1990,-12.6270065024
"9",Sep 1990,-20.3538749885
"10",Oct 1990,-1.8550015981
"11",Nov 1990,4.2224543169
"12",Dec 1990,5.2961440022
"13",Jan 1991,3.4060969748
"14",Feb 1991,12.9405464663
"15",Mar 1991,-2.0605140263
"16",Apr 1991,-2.4671792067
"17",May 1991,-5.4805775011
"18",Jun 1991,-8.0789049477
"19",Jul 1991,3.58276986
"20",Aug 1991,16.1675065491
"21",Sep 1991,-2.7078187798
"22",Oct 1991,-0.3543125237
"23",Nov 1991,-10.876304286
"24",Dec 1991,4.9020471849
"25",Jan 1992,21.5209487976
"26",Feb 1992,5.1692764746
"27",Mar 1992,-5.718173825
"28",Apr 1992,-7.3081092204
"29",May 1992,22.3882162256
"30",Jun 1992,-15.12133976
"31",Jul 1992,-15.9651341216
"32",Aug 1992,-2.5726357472
"33",Sep 1992,-10.6122930016
"34",Oct 1992,-13.304201672
"35",Nov 1992,-3.6415868112
"36",Dec 1992,0.0331
"37",Jan 1993,16.4532504064
"38",Feb 1993,1.9336878032
"39",Mar 1993,15.90779324
"40",Apr 1993,8.858131136
"41",May 1993,10.066440032
"42",Jun 1993,15.6735129728
"43",Jul 1993,7.4585996832
"44",Aug 1993,36.407738742
"45",Sep 1993,28.5907040975
"46",Oct 1993,-0.9567831629
"47",Nov 1993,5.4326500067
"48",Dec 1993,11.4054897549
"49",Jan 1994,12.7063802468
"50",Feb 1994,13.6145498429
"51",Mar 1994,-14.1405742508
"52",Apr 1994,-1.8337361786
"53",May 1994,-8.6155026143
"54",Jun 1994,0.4762112257
"55",Jul 1994,-4.7468322
"56",Aug 1994,7.8712653233
"57",Sep 1994,9.6844766795
"58",Oct 1994,1.2485251552
"59",Nov 1994,1.3828145224
"60",Dec 1994,8.1632172011
"61",Jan 1995,-0.949994263499999
