"","year","PROD","ANNUAL_RET.USD"
"1",1983,1.247699777896,24.7699777896
"2",1984,2.00070050614076,100.070050614076
"3",1985,3.15436920179452,215.436920179452
"4",1986,3.55691919854323,255.691919854323
"5",1987,2.9773822255272,197.73822255272
"6",1988,1.91385514422057,91.3855144220568
"7",1989,2.32571197458777,132.571197458777
"8",1990,1.44269648830575,44.2696488305748
"9",1991,1.74406516012418,74.4065160124179
"10",1992,0.85962079830696,-14.037920169304
"11",1993,2.52092973863742,152.092973863742
"12",1994,1.6834271366852,68.34271366852
"13",1995,2.3214200506938,132.14200506938
"14",1996,3.07950097835404,207.950097835404
"15",1997,2.48452422878296,148.452422878296
"16",1998,2.64751770396041,164.751770396041
"17",1999,2.8643506667927,186.43506667927
"18",2000,2.6153796692441,161.53796692441
"19",2001,1.52680590934943,52.6805909349427
"20",2002,2.13275918124388,113.275918124388
"21",2003,1.98745324518576,98.7453245185759
"22",2004,2.51520191064554,151.520191064554
"23",2005,2.10030838023963,110.030838023963
"24",2006,3.0204402667222,202.04402667222
"25",2007,2.58800890719241,158.800890719241
"26",2008,0.789378559126178,-21.0621440873822
"27",2009,2.48692410823241,148.692410823241
"28",2010,2.52221183858742,152.221183858742
"29",2011,1.65545580080583,65.5455800805832
"30",2012,2.09977493466167,109.977493466167
"31",2013,2.51678804153572,151.678804153572
"32",2014,1.53066159311711,53.0661593117109
"33",2015,2.06354509212006,106.354509212006
"34",2016,1.55750734901527,55.7507349015274
"35",2017,2.24438073840462,124.438073840462
"36",2018,1.60292434197649,60.2924341976493
"37",2019,1.96181454293612,96.1814542936122
"38",2020,2.12808210183324,112.808210183324
"39",2021,2.95192434878604,195.192434878604
