"","ym","RET"
"186",Apr 2002,-7.2552435073
"187",May 2002,1.4937960763
"188",Jun 2002,-10.3803352161
"189",Jul 2002,-7.9300625776
"190",Aug 2002,3.6418918029
"191",Sep 2002,-9.9623489131
"192",Oct 2002,-0.1374092254
"193",Nov 2002,12.6721423221
"194",Dec 2002,-0.00281147450000005
"195",Jan 2003,-4.5871627546
"196",Feb 2003,-15.0291349238
"197",Mar 2003,-7.0796072856
"198",Apr 2003,15.9821480835
"199",May 2003,24.8753208852
"200",Jun 2003,3.914983832
"201",Jul 2003,2.9391052456
"202",Aug 2003,-0.589733012899999
"203",Sep 2003,14.540643662
"204",Oct 2003,16.3190344658
"205",Nov 2003,7.9182223541
"206",Dec 2003,14.6292350434
"207",Jan 2004,3.0123901609
"208",Feb 2004,4.8489214961
"209",Mar 2004,0.1040647619
"210",Apr 2004,-8.1329082476
"211",May 2004,-3.5422701792
"212",Jun 2004,10.4126948517
"213",Jul 2004,-0.840521940600001
"214",Aug 2004,-3.7946335484
"215",Sep 2004,-4.3317395686
"216",Oct 2004,4.3673302906
"217",Nov 2004,4.5330324747
"218",Dec 2004,6.4221202653
"219",Jan 2005,-1.8743864082
"220",Feb 2005,-1.1591050538
"221",Mar 2005,1.9567435061
"222",Apr 2005,-11.3554147003
"223",May 2005,-5.9090643064
"224",Jun 2005,2.3386601763
"225",Jul 2005,1.3297768003
"226",Aug 2005,17.8614442553
"227",Sep 2005,-2.6269528188
"228",Oct 2005,-1.1335007002
"229",Nov 2005,7.0283538986
"230",Dec 2005,3.6946708447
"231",Jan 2006,12.883526346
"232",Feb 2006,2.8778936276
"233",Mar 2006,3.2068104459
"234",Apr 2006,6.1535732396
"235",May 2006,-5.6204212127
"236",Jun 2006,-13.2214432737
"237",Jul 2006,-11.805994787
"238",Aug 2006,-3.4799399742
"239",Sep 2006,8.3071462539
"240",Oct 2006,1.6174664877
"241",Nov 2006,1.0659407623
"242",Dec 2006,0.8221185503
"243",Jan 2007,8.8525180956
"244",Feb 2007,3.2984442574
"245",Mar 2007,0.8294702193
"246",Apr 2007,-0.2295577126
"247",May 2007,-3.8894063584
"248",Jun 2007,-5.2300506991
"249",Jul 2007,-3.8128247545
"250",Aug 2007,1.8164972442
"251",Sep 2007,-0.4441162876
"252",Oct 2007,15.0441989434
"253",Nov 2007,-4.3537980576
"254",Dec 2007,-10.1827506939
"255",Jan 2008,-6.0075090968
"256",Feb 2008,15.4860515133
"257",Mar 2008,-6.4057362042
"258",Apr 2008,0.242974179400001
"259",May 2008,-5.2792031379
"260",Jun 2008,-16.8683084678
"261",Jul 2008,-0.4596332201
"262",Aug 2008,3.9570786343
"263",Sep 2008,-17.1341988754
"264",Oct 2008,-22.8467519958
"265",Nov 2008,6.3886442075
"266",Dec 2008,4.6906997044
"267",Jan 2009,-3.3508349467
"268",Feb 2009,0.4099019278
"269",Mar 2009,7.4974150812
"270",Apr 2009,13.6915604797
"271",May 2009,12.787905115
"272",Jun 2009,9.7346158605
"273",Jul 2009,8.5510164499
"274",Aug 2009,-1.2287219455
"275",Sep 2009,-0.1739927268
"276",Oct 2009,1.0925801607
"277",Nov 2009,-2.0582172026
"278",Dec 2009,-1.7150992893
"279",Jan 2010,-0.2784538827
"280",Feb 2010,-2.6313946695
"281",Mar 2010,-0.4203236196
"282",Apr 2010,2.1889060882
"283",May 2010,-2.8057107392
"284",Jun 2010,-1.345037015
"285",Jul 2010,-1.5578306592
"286",Aug 2010,9.2673733854
"287",Sep 2010,-8.0867341229
"288",Oct 2010,66.7935486661
"289",Nov 2010,-6.329641002
"290",Dec 2010,-1.8444138753
"291",Jan 2011,2.6165799555
"292",Feb 2011,9.9305981646
"293",Mar 2011,4.9266852469
"294",Apr 2011,-1.9244899553
"295",May 2011,0.4526832099
"296",Jun 2011,-10.3481173779
"297",Jul 2011,1.0747396839
"298",Aug 2011,-0.7205968988
"299",Sep 2011,0.729726817100001
"300",Oct 2011,0.6527654126
"301",Nov 2011,-10.2046922911
"302",Dec 2011,-5.908296294
"303",Jan 2012,16.1779586614
"304",Feb 2012,18.9357786907
"305",Mar 2012,2.3702874752
"306",Apr 2012,2.9762229034
"307",May 2012,-14.0606726399
"308",Jun 2012,-2.195652779
"309",Jul 2012,2.2512845026
"310",Aug 2012,15.7609956005
"311",Sep 2012,0.0926223407999999
"312",Oct 2012,19.6520460612
"313",Nov 2012,-10.3429746736
"314",Dec 2012,-6.6247512942
"315",Jan 2013,-3.812923189
"316",Feb 2013,15.8842890389
"317",Mar 2013,-4.2016304099
"318",Apr 2013,-6.3076026575
"319",May 2013,-1.0528422922
"320",Jun 2013,-5.0101198984
"321",Jul 2013,3.5198492725
"322",Aug 2013,8.2765867531
"323",Sep 2013,8.6098244765
"324",Oct 2013,0.9987836356
"325",Nov 2013,-4.2507237522
"326",Dec 2013,-2.3319575803
"327",Jan 2014,4.0046544494
"328",Feb 2014,-15.3179801994
"329",Mar 2014,-6.3368701057
"330",Apr 2014,8.2759839379
"331",May 2014,-9.2924798344
"332",Jun 2014,0.3657331254
"333",Jul 2014,2.5107199119
"334",Aug 2014,16.6679002922
"335",Sep 2014,8.713349519
"336",Oct 2014,-8.8420849992
"337",Nov 2014,-8.3397263369
"338",Dec 2014,-1.7083110436
